ComponentId,SpecificationId,System,MaterialEquipmentCategory,NormalizedAge,YearsSincePreviousAssessment,PredictedCI,ActualScore,CRV,Fac,AssetAge,AssetNormalizedAge,AssetDesignLife,AssetPRV,ScoreChangeFromPrevious,IsProbablyReplaced,IsUnexpectedlyGreen,CVFold
1,2333,10,139,1.12,,9.076857981,88,6256.3246,100,56,1.018181818,55,58994705,,True,False,-1
2,2653,12,205,0.2,,94.4283528,95,27609.071,167,4,0.07272727273,55,156996,,False,False,-1
3,600,3,23,0.36,,92.65513357,88,5573.4888,28,36,0.9,40,268592,,False,False,-1
4,1886,11,182,0.35,,78.82995847,88,24241.08,132,38,0.8444444444,45,12716959,,False,False,-1
5,38,6,78,0.2,,92.16783675,95,2400.5696,138,67,1.861111111,36,137874,,False,False,-1
6,837,8,103,0.9444444444,,21.09025892,71,7067.025,91,17,0.3090909091,55,29156099,,True,False,-1
7,1843,11,193,0.6666666667,,33.73958252,88,5171.5586,99,10,0.1818181818,55,13732568,,False,False,-1
8,981,1,1,0.4,,91.14023467,71,7085.36,60,83,1.509090909,55,1266484,,False,False,-1
9,2420,10,151,0.2,,90.04204595,80,110729.3712,99,19,0.3454545455,55,12311081,,False,False,-1
10,2944,13,223,3.85,,9.124237326E-16,95,492.2336,117,77,1.711111111,45,4354188,,True,True,-1
11,2768,11,185,0.45,,65.13285934,95,2749.7925,27,9,0.18,50,2905988,,False,True,-1
12,1223,13,232,0.7,,35.26593385,88,2348.2935,90,14,0.2545454545,55,77874207,,False,False,-1
13,779,11,172,0.7333333333,,33.73958252,88,39643.728,28,11,0.275,40,7254555,,True,False,-1
14,1039,11,193,0.7333333333,,33.73958252,88,3851.1612,115,11,0.3142857143,35,25242287,,True,False,-1
15,2561,6,61,0.46,,82.01511245,88,32472.018,90,23,0.4181818182,55,2973792,,False,False,-1
16,1686,4,34,0.4,,65.13285934,88,5607,20,8,0.16,50,2256742,,False,False,-1
17,1764,12,205,0.55,,55.0668661,88,49664.9948,167,32,0.5818181818,55,1078754,,False,False,-1
18,801,5,58,1.3,,5.4251189,88,1594.0144,66,26,0.65,40,1094830,,True,False,-1
19,2627,4,52,0.24,,87.63579797,80,788.7789,156,28,0.6222222222,45,296879,,False,False,-1
