Id,Spec,System,MEC,DesignLife,Qty,UOM,NormalizedAge,Recency,PredictedCI,ActualScore,CRV,Fac,AssetAge,AssetDesignLife,PrevScore
1,2333,10,139,25,1.00,Each,1.12,,9.1,88,6256,100,56,55,
2,2653,12,205,20,1.00,Each,0.20,,94.4,95,27609,167,4,55,
3,600,3,23,100,411.00,Square Feet,0.36,,92.7,88,5573,28,36,40,
4,1886,11,182,20,150.00,Thousand BTUs per Hour,0.35,,78.8,88,24241,132,38,45,
5,38,6,78,20,2.00,Each,0.20,,92.2,95,2401,138,67,36,
6,837,8,103,18,641.00,Square Feet,0.94,,21.1,71,7067,91,17,55,
7,1843,11,193,15,1.00,Each,0.67,,33.7,88,5172,99,10,55,
8,981,1,1,100,200.00,Square Feet,0.40,,91.1,71,7085,60,83,55,
9,2420,10,151,25,56.00,Each,0.20,,90.0,80,110729,99,19,55,
10,2944,13,223,20,2.00,Each,3.85,,0.0,95,492,117,77,45,
11,2768,11,185,20,1.00,Each,0.45,,65.1,95,2750,27,9,50,
12,1223,13,232,20,3.00,Each,0.70,,35.3,88,2348,90,14,55,
13,779,11,172,15,1.00,Each,0.73,,33.7,88,39644,28,11,40,
14,1039,11,193,15,1.00,Each,0.73,,33.7,88,3851,115,11,35,
15,2561,6,61,50,2930.00,Square Feet,0.46,,82.0,88,32472,90,23,55,
16,1686,4,34,20,875.00,Square Feet,0.40,,65.1,88,5607,20,8,50,
17,1764,12,205,20,1.00,Each,0.55,,55.1,88,49665,167,32,55,
18,801,5,58,20,94.00,Linear Feet,1.30,,5.4,88,1594,66,26,40,
19,2627,4,52,25,1.00,Each,0.24,,87.6,80,789,156,28,45,
20,1740,4,41,20,1500.00,Square Feet,0.15,,82.8,95,207980,124,3,50,
20,1740,4,41,20,1500.00,Square Feet,0.30,3.00,84.6,88,207980,124,6,50,95
20,1740,4,41,20,1500.00,Square Feet,0.35,1.00,84.2,88,207980,124,7,50,88
20,1740,4,41,20,1500.00,Square Feet,0.45,2.00,80.3,88,207980,124,9,50,88
21,822,13,223,20,6.00,Each,1.00,,19.2,95,2101,34,20,50,
22,2796,6,61,75,342.00,Square Feet,0.40,,79.9,88,5199,71,70,50,
22,2796,6,61,75,342.00,Square Feet,0.43,2.00,86.2,88,5199,71,72,50,88
22,2796,6,61,75,342.00,Square Feet,0.47,3.00,85.3,88,5199,71,75,50,88
22,2796,6,61,75,342.00,Square Feet,0.55,6.00,82.4,88,5199,71,81,50,88
23,401,12,203,20,9.00,Each,2.85,,0.0,71,7035,101,57,41,
24,1485,14,244,20,1.00,Each,1.00,,16.0,80,17128,16,102,55,
25,981,1,1,100,324.00,Square Feet,0.66,,67.1,71,8424,67,66,55,
25,981,1,1,100,324.00,Square Feet,0.70,4.00,67.2,71,8424,67,70,55,71
26,10,8,113,60,550.00,Square Feet,0.07,,99.2,88,5203,30,4,40,
27,770,13,223,20,8.00,Each,0.40,,60.1,88,4702,90,33,55,
27,770,13,223,20,8.00,Each,0.65,5.00,67.1,88,4702,90,38,55,88
28,705,5,55,20,12340.00,Square Feet,3.45,,0.0,71,74891,51,69,55,
29,994,12,202,15,1.00,Each,0.27,,73.0,88,354,59,64,55,
30,2664,11,193,20,1.00,Each,0.50,,60.1,95,5991,90,105,55,
31,1820,4,33,15,470.00,Linear Feet,0.87,,14.1,80,54219,90,52,55,
31,1820,4,33,15,470.00,Linear Feet,1.27,6.00,33.0,71,54219,90,58,55,80
32,1022,6,69,50,20.00,Each,0.42,,83.5,88,39968,101,61,41,
33,748,8,108,20,2838.00,Square Feet,0.25,,82.8,80,60496,99,43,55,
34,1976,5,55,20,29875.00,Square Feet,0.55,,60.1,88,133299,20,63,50,
35,1022,6,69,50,2.00,Each,0.20,,96.3,88,4700,153,50,45,
36,2421,13,218,20,1.00,Each,0.45,,55.1,88,6745,22,9,55,
36,2421,13,218,20,1.00,Each,0.70,5.00,67.5,88,6745,22,14,55,88
37,2229,10,145,25,1.00,Each,0.36,,78.8,88,3424,99,9,55,
37,2229,10,145,25,1.00,Each,0.52,4.00,75.1,80,3424,99,13,55,88
38,1377,10,136,25,4.00,Each,0.76,,36.2,88,9062,99,44,55,
38,1377,10,136,25,4.00,Each,0.96,5.00,71.1,88,9062,99,49,55,88
39,2898,13,232,20,15.00,Each,0.30,,78.8,88,1801,90,86,55,
40,2576,10,137,25,4.00,Each,0.00,,95.6,100,9995,49,66,55,
41,1698,13,223,20,2.00,Each,0.20,,78.8,88,615,101,64,41,
42,2265,13,217,50,1.00,Each,0.64,,60.1,71,6586,34,75,50,
42,2265,13,217,50,1.00,Each,0.72,4.00,63.2,88,6586,34,79,50,71
43,871,8,109,40,2000.00,Square Feet,0.28,,90.9,88,10028,67,11,55,
44,1377,10,136,25,2.00,Each,0.52,,68.0,88,4485,62,29,55,
45,2321,13,223,20,1.00,Each,0.70,,35.3,95,596,90,12,55,
46,1624,8,93,20,292.00,Square Feet,0.95,,19.2,88,1576,59,64,55,
47,1528,11,193,20,1.00,Each,0.10,,98.7,95,4249,151,34,45,
48,866,10,145,25,1.00,Each,0.32,,90.0,80,17368,91,8,55,
49,1566,10,145,10,1.00,Each,1.10,,2.4,71,18938,91,11,55,
50,2379,8,112,70,11638.00,Square Feet,0.37,,89.9,71,94163,19,55,50,
51,2561,6,61,50,1480.00,Square Feet,0.16,,95.6,95,20416,1,8,50,
51,2561,6,61,50,1480.00,Square Feet,0.26,5.00,88.7,88,20416,1,13,50,95
52,1892,13,218,20,1.00,Each,2.00,,0.0,71,3059,90,65,55,
53,2478,11,172,15,1.00,Each,0.00,,95.1,88,5598,92,11,55,
54,1077,8,118,125,795.00,Square Feet,0.10,,99.3,88,1538,99,51,55,
54,1077,8,118,125,795.00,Square Feet,0.14,6.00,82.2,88,1538,99,57,55,88
55,573,7,90,125,1.00,Each,0.35,,92.2,88,20544,64,44,55,
56,10,8,113,60,1214.00,Square Feet,0.25,,93.7,95,11485,102,15,55,
56,10,8,113,60,1214.00,Square Feet,0.32,4.00,91.7,88,11485,102,19,55,95
57,801,5,58,20,200.00,Linear Feet,0.55,,74.5,95,3392,75,11,45,
58,550,7,90,125,2.00,Each,0.53,,80.1,50,26022,67,66,55,
58,550,7,90,125,2.00,Each,0.56,4.00,46.7,88,26022,67,70,55,50
59,401,12,203,20,8.00,Each,0.50,,55.1,88,6253,130,55,50,
59,401,12,203,20,8.00,Each,0.70,4.00,72.3,88,6253,130,59,50,88
